date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:19	9465/9465	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:11%20GMT	http://www.gleanslo.org/index.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/index.html	(from )
16:10:19	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2025%20Jan%202013%2021:48:07%20GMT	http://www.gleanslo.org/robots.txt		(from )
16:10:19	9018/9018	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Mar%202019%2020:01:58%20GMT	http://www.gleanslo.org/gleanslo.css	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/gleanslo.css	(from http://www.gleanslo.org/index.php)
16:10:20	968/968	---M--	200	added ('OK')	application/javascript	date:Sat,%2007%20Apr%202018%2013:56:49%20GMT	http://www.gleanslo.org/includes/photoswap.js	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/includes/photoswap.js	(from http://www.gleanslo.org/index.php)
16:10:21	5103/5103	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:13%20GMT	http://www.gleanslo.org/mission.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/mission.html	(from http://www.gleanslo.org/index.php)
16:10:22	16125/16125	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:13%20GMT	http://www.gleanslo.org/team.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/team.html	(from http://www.gleanslo.org/index.php)
16:10:22	19393/19393	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:13%20GMT	http://www.gleanslo.org/history.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/history.html	(from http://www.gleanslo.org/index.php)
16:10:23	6984/6984	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:14%20GMT	http://www.gleanslo.org/how.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/how.html	(from http://www.gleanslo.org/index.php)
16:10:23	4367/4367	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:14%20GMT	http://www.gleanslo.org/annual.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/annual.html	(from http://www.gleanslo.org/index.php)
16:10:23	34360/34360	---M--	200	added ('OK')	font/ttf	date:Wed,%2009%20May%202018%2000:46:25%20GMT	http://www.gleanslo.org/fonts/digital-7.ttf	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/fonts/digital-7.ttf	(from http://www.gleanslo.org/index.php)
16:10:23	9513/9513	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:15%20GMT	http://www.gleanslo.org/FAQ.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/FAQ.html	(from http://www.gleanslo.org/index.php)
16:10:24	5225/5225	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:15%20GMT	http://www.gleanslo.org/contact.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/contact.html	(from http://www.gleanslo.org/index.php)
16:10:24	3812/3812	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:16%20GMT	http://www.gleanslo.org/employment.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/employment.html	(from http://www.gleanslo.org/index.php)
16:10:24	8913/8913	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:16%20GMT	http://www.gleanslo.org/volunteer.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/volunteer.html	(from http://www.gleanslo.org/index.php)
16:10:25	14969/14969	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:16%20GMT	http://www.gleanslo.org/site_registration.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/site_registration.html	(from http://www.gleanslo.org/index.php)
16:10:25	4712/4712	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:17%20GMT	http://www.gleanslo.org/wish.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/wish.html	(from http://www.gleanslo.org/index.php)
16:10:25	10827/10827	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:17%20GMT	http://www.gleanslo.org/supporters.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/supporters.html	(from http://www.gleanslo.org/index.php)
16:10:26	5452/5452	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:17%20GMT	http://www.gleanslo.org/sponsorship.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/sponsorship.html	(from http://www.gleanslo.org/index.php)
